resid,leaflet,X coords,Y coords,Z coords,Area per lipid
104,lower leaflet,15.330,8.030,3.580,0.488
311,lower leaflet,1.630,12.550,3.720,0.292
318,lower leaflet,17.930,8.150,3.360,0.450
381,lower leaflet,7.590,19.030,4.020,0.579
415,lower leaflet,16.420,0.850,3.650,0.440
434,lower leaflet,10.740,6.500,3.910,0.292
580,lower leaflet,2.650,4.990,2.940,0.287
586,lower leaflet,18.340,3.250,3.310,0.330
630,lower leaflet,20.490,0.700,3.320,0.493
658,lower leaflet,16.980,21.230,3.860,0.495
800,lower leaflet,14.060,1.250,4.770,0.369
826,lower leaflet,19.290,23.120,3.280,0.477
962,lower leaflet,2.930,20.560,4.120,0.694
1001,lower leaflet,11.040,15.100,3.350,0.626
1002,lower leaflet,12.850,11.220,3.540,0.312
1003,lower leaflet,10.260,14.550,3.500,0.529
1004,lower leaflet,11.660,15.410,2.930,0.737
1005,lower leaflet,13.150,10.840,2.850,0.656
1006,lower leaflet,9.590,12.710,3.300,0.594
1007,lower leaflet,6.030,12.740,3.660,0.593
1008,lower leaflet,14.830,9.630,2.730,0.763
1009,lower leaflet,16.370,12.930,2.230,0.368
1010,lower leaflet,9.520,11.040,3.290,0.656
1011,lower leaflet,4.430,11.140,3.320,0.608
1012,lower leaflet,14.140,12.780,2.800,0.835
1013,lower leaflet,16.080,12.020,2.490,0.732
1014,lower leaflet,10.750,10.370,3.440,0.625
1015,lower leaflet,15.330,12.290,2.530,0.826
1016,lower leaflet,6.220,13.230,3.600,0.443
1017,lower leaflet,11.700,9.950,3.030,0.639
1018,lower leaflet,13.360,7.850,2.600,0.557
1019,lower leaflet,15.840,14.360,2.860,0.741
1020,lower leaflet,7.620,17.300,3.170,0.876
1021,lower leaflet,13.810,19.150,2.930,0.855
1022,lower leaflet,12.430,10.350,3.130,0.737
1023,lower leaflet,11.000,12.740,3.010,0.702
1024,lower leaflet,12.040,12.380,3.170,0.708
1026,lower leaflet,14.380,8.640,2.770,0.770
1027,lower leaflet,8.820,10.890,3.880,0.259
1028,lower leaflet,13.030,8.990,2.790,0.808
1029,lower leaflet,18.160,10.390,2.080,0.901
1030,lower leaflet,5.900,7.830,2.600,0.735
1031,lower leaflet,14.340,4.890,3.380,0.663
1032,lower leaflet,13.590,10.170,2.900,0.923
1033,lower leaflet,13.590,12.670,3.180,0.665
1034,lower leaflet,11.740,13.880,2.850,0.875
1035,lower leaflet,15.260,6.420,2.900,0.655
1036,lower leaflet,12.490,8.420,2.940,0.915
1037,lower leaflet,8.230,10.960,3.200,0.646
1038,lower leaflet,10.580,13.510,3.330,0.578
1039,lower leaflet,5.750,15.620,3.130,0.868
1040,lower leaflet,11.010,14.210,3.280,0.593
1041,lower leaflet,12.400,11.480,3.400,0.609
1042,lower leaflet,12.970,16.400,3.080,0.792
1043,lower leaflet,7.480,12.400,3.200,0.749
1045,lower leaflet,19.800,12.480,2.180,0.746
1046,lower leaflet,12.900,12.870,2.970,0.678
1047,lower leaflet,17.090,14.950,2.890,0.786
1049,lower leaflet,7.040,12.050,3.280,0.419
1050,lower leaflet,17.210,11.490,2.050,0.943
1051,lower leaflet,14.800,10.510,2.710,0.863
1052,lower leaflet,11.120,6.130,3.640,0.490
