resid,leaflet,X coords,Y coords,Z coords,Thickness
104,lower leaflet,15.720,7.300,3.750,4.194
115,lower leaflet,11.300,17.530,3.520,3.713
311,lower leaflet,0.990,13.080,3.210,3.844
318,lower leaflet,19.080,8.740,3.330,3.769
381,lower leaflet,7.460,19.350,3.710,3.896
415,lower leaflet,15.860,2.130,3.070,3.651
434,lower leaflet,11.900,7.510,3.260,3.919
580,lower leaflet,3.000,6.110,4.160,3.994
586,lower leaflet,18.600,4.120,3.040,3.894
630,lower leaflet,20.060,0.680,2.810,3.653
658,lower leaflet,16.910,21.960,2.960,3.509
826,lower leaflet,20.280,23.490,3.140,3.839
962,lower leaflet,3.790,21.080,4.070,3.913
1001,lower leaflet,11.350,16.180,2.800,3.914
1002,lower leaflet,13.310,12.390,3.630,3.846
1003,lower leaflet,11.080,15.040,3.220,4.133
1004,lower leaflet,12.500,15.780,2.830,3.861
1005,lower leaflet,13.100,11.740,2.930,4.016
1006,lower leaflet,10.340,12.770,3.240,3.704
1007,lower leaflet,6.270,14.700,3.150,3.964
1008,lower leaflet,14.990,9.980,3.120,4.108
1009,lower leaflet,16.550,12.490,2.250,3.818
1010,lower leaflet,10.170,11.370,2.950,3.674
1011,lower leaflet,4.340,12.020,3.210,3.824
1012,lower leaflet,15.050,12.980,2.780,3.560
1013,lower leaflet,15.400,12.170,3.020,3.948
1014,lower leaflet,11.750,10.640,3.030,3.669
1015,lower leaflet,14.680,12.450,2.910,3.813
1016,lower leaflet,6.580,15.120,2.910,3.802
1017,lower leaflet,12.690,10.370,2.660,3.989
1018,lower leaflet,14.130,8.280,2.500,4.124
1019,lower leaflet,16.200,15.320,2.690,4.024
1020,lower leaflet,8.080,18.110,3.380,3.873
1021,lower leaflet,13.990,20.280,2.580,3.713
1022,lower leaflet,12.580,11.200,2.950,3.789
1023,lower leaflet,11.910,13.960,3.120,3.647
1024,lower leaflet,12.450,13.230,3.140,3.988
1026,lower leaflet,14.890,9.150,3.020,4.221
1027,lower leaflet,9.590,11.460,4.110,3.705
1028,lower leaflet,12.740,9.510,2.520,3.959
1029,lower leaflet,18.100,10.030,2.090,3.950
1030,lower leaflet,7.040,8.850,2.440,3.702
1031,lower leaflet,14.410,6.130,2.480,3.807
1032,lower leaflet,14.210,10.920,3.130,4.054
1033,lower leaflet,14.500,13.770,2.960,4.127
1034,lower leaflet,12.900,14.040,3.180,3.840
1035,lower leaflet,16.070,7.180,2.830,3.982
1036,lower leaflet,12.030,9.300,2.970,3.624
1037,lower leaflet,8.210,11.680,3.230,3.600
1038,lower leaflet,11.070,13.990,2.750,3.687
1039,lower leaflet,6.960,15.930,3.010,3.799
1040,lower leaflet,10.630,14.490,3.340,4.047
1041,lower leaflet,12.190,12.600,2.980,3.725
1042,lower leaflet,13.600,17.580,2.730,3.816
1043,lower leaflet,8.850,13.140,3.360,3.882
1045,lower leaflet,19.990,13.040,2.200,3.657
1046,lower leaflet,13.140,14.390,2.800,3.819
1047,lower leaflet,17.180,15.270,2.380,4.133
1049,lower leaflet,7.590,13.090,3.140,3.604
1050,lower leaflet,16.930,11.370,2.480,3.850
1051,lower leaflet,15.290,10.830,2.880,3.830
1052,lower leaflet,11.030,6.460,2.880,3.887
1053,lower leaflet,8.860,4.450,3.210,3.747
1054,lower leaflet,15.800,7.350,3.290,3.966
1055,lower leaflet,9.760,16.500,3.070,3.775
1056,lower leaflet,10.190,16.210,3.340,3.993
1057,lower leaflet,13.280,12.590,2.910,3.956
1058,lower leaflet,14.000,9.040,2.620,4.221
1059,lower leaflet,13.350,15.290,2.980,3.725
1060,lower leaflet,14.000,9.940,2.590,4.017
1061,lower leaflet,8.600,16.570,3.090,3.661
1062,lower leaflet,12.540,17.270,2.940,3.873
1063,lower leaflet,9.300,14.630,3.000,3.942
1064,lower leaflet,5.350,9.590,2.330,3.851
1066,lower leaflet,10.640,12.180,3.960,3.559
1067,lower leaflet,14.120,15.010,2.930,4.021
1068,lower leaflet,7.270,20.560,3.000,4.207
1069,lower leaflet,7.860,10.830,3.230,3.795
1070,lower leaflet,9.180,16.440,3.200,3.833
1071,lower leaflet,14.910,6.950,2.940,4.146
1072,lower leaflet,14.530,8.320,2.780,3.913
1073,lower leaflet,17.200,9.560,2.360,4.145
1074,lower leaflet,8.740,17.880,3.670,3.888
1075,lower leaflet,15.370,8.550,3.190,4.371
1076,lower leaflet,17.590,12.270,2.390,3.818
1078,lower leaflet,13.110,8.180,2.420,3.677
1079,lower leaflet,17.090,12.570,2.520,3.841
1080,lower leaflet,16.710,7.380,2.740,3.802
1081,lower leaflet,11.080,5.900,2.850,3.848
1082,lower leaflet,9.170,6.910,2.860,4.045
1083,lower leaflet,19.350,9.950,2.250,4.034
