resid,leaflet,X coords,Y coords,Z coords,Area per lipid
1001,lower leaflet,12.260,12.360,2.860,0.873
1002,lower leaflet,9.400,14.470,3.560,0.201
1003,lower leaflet,11.410,14.770,2.980,0.855
1004,lower leaflet,11.610,14.070,3.040,0.955
1005,lower leaflet,12.070,10.790,2.780,0.674
1006,lower leaflet,9.670,14.270,3.140,0.422
1007,lower leaflet,9.310,12.630,3.330,0.749
1008,lower leaflet,10.300,14.720,3.070,0.677
1009,lower leaflet,10.550,13.920,3.090,0.758
1010,lower leaflet,13.190,11.340,2.620,0.718
1011,lower leaflet,9.800,14.720,3.230,0.581
1012,lower leaflet,10.590,11.870,3.110,0.709
1013,lower leaflet,13.050,10.450,2.620,0.650
1014,lower leaflet,11.600,9.580,2.910,0.522
1015,lower leaflet,11.180,12.280,2.780,0.827
1016,lower leaflet,8.370,12.680,2.650,1.006
1017,lower leaflet,12.550,10.430,2.820,0.604
1018,lower leaflet,12.840,9.230,2.470,0.778
1019,lower leaflet,11.550,10.520,3.170,0.698
1020,lower leaflet,9.760,17.310,3.120,0.567
1021,lower leaflet,13.290,15.460,2.880,0.847
1022,lower leaflet,8.950,14.820,2.970,0.563
1023,lower leaflet,10.060,13.660,3.260,0.696
1024,lower leaflet,12.730,11.410,2.940,0.713
1026,lower leaflet,15.380,10.160,2.540,0.612
1027,lower leaflet,15.800,9.460,3.310,0.405
1028,lower leaflet,10.600,10.890,3.140,0.734
1029,lower leaflet,14.590,10.530,2.480,0.766
1030,lower leaflet,9.730,15.570,3.160,0.590
1031,lower leaflet,12.440,8.020,3.020,0.533
1032,lower leaflet,12.190,9.940,3.080,0.571
1033,lower leaflet,10.760,12.870,3.090,0.831
1034,lower leaflet,7.570,14.610,3.280,0.515
1035,lower leaflet,15.020,9.380,2.270,0.712
1036,lower leaflet,13.760,9.100,2.340,0.710
1037,lower leaflet,11.270,11.440,3.110,0.763
1038,lower leaflet,8.080,14.720,3.100,0.589
1039,lower leaflet,11.680,15.210,2.940,0.694
