resid,leaflet,X coords,Y coords,Z coords,Thickness
826,lower leaflet,18.480,0.800,4.550,4.129
1001,lower leaflet,11.780,12.870,3.110,4.153
1002,lower leaflet,9.170,13.810,3.240,3.955
1003,lower leaflet,11.200,15.550,2.470,4.037
1004,lower leaflet,11.820,14.820,2.510,3.998
1005,lower leaflet,12.810,11.670,3.060,3.831
1006,lower leaflet,9.840,14.310,2.580,4.045
1007,lower leaflet,10.270,13.060,3.170,3.975
1008,lower leaflet,10.500,14.930,2.640,3.712
1009,lower leaflet,10.240,13.880,2.830,3.938
1010,lower leaflet,12.430,12.390,2.780,3.960
1011,lower leaflet,9.700,15.170,2.470,3.758
1012,lower leaflet,11.210,12.270,2.960,4.094
1013,lower leaflet,13.590,11.680,3.490,3.917
1014,lower leaflet,12.560,10.300,3.370,3.967
1015,lower leaflet,10.900,13.250,3.050,4.031
1016,lower leaflet,9.560,11.970,2.860,4.422
1017,lower leaflet,12.930,11.100,3.330,3.830
1018,lower leaflet,12.610,9.440,2.850,3.792
1019,lower leaflet,11.970,11.150,3.100,3.777
1020,lower leaflet,8.630,18.260,2.280,3.490
1021,lower leaflet,13.180,15.680,2.410,3.848
1022,lower leaflet,9.060,14.790,2.970,4.094
1023,lower leaflet,10.700,14.080,2.740,3.988
1024,lower leaflet,12.080,13.180,2.740,4.146
1026,lower leaflet,15.360,10.990,3.210,3.780
1027,lower leaflet,16.150,9.790,3.450,3.996
1028,lower leaflet,11.580,10.480,3.470,3.905
1029,lower leaflet,14.460,11.650,3.300,3.819
1030,lower leaflet,10.360,15.700,2.600,3.953
1031,lower leaflet,11.550,7.880,3.150,4.102
1032,lower leaflet,12.450,10.780,3.060,3.822
1033,lower leaflet,11.380,13.820,2.810,4.165
1034,lower leaflet,7.490,14.160,2.700,3.664
1035,lower leaflet,14.550,10.730,3.330,3.767
1036,lower leaflet,14.170,9.950,3.160,3.785
1037,lower leaflet,11.100,11.220,3.140,4.095
1038,lower leaflet,8.260,14.010,2.660,3.857
1039,lower leaflet,11.740,15.740,2.500,3.915
1040,lower leaflet,11.320,16.540,2.490,4.010
1041,lower leaflet,10.930,16.100,2.710,4.085
1042,lower leaflet,13.450,13.260,2.770,3.891
1043,lower leaflet,9.170,12.980,2.960,4.032
1045,lower leaflet,12.940,15.190,2.470,3.827
1046,lower leaflet,15.250,10.180,3.300,3.909
1047,lower leaflet,14.320,18.080,2.500,4.159
1049,lower leaflet,9.960,12.690,3.000,3.991
1050,lower leaflet,12.850,13.970,2.660,4.117
1051,lower leaflet,16.050,10.400,2.920,3.960
1052,lower leaflet,12.240,10.000,3.050,4.122
1053,lower leaflet,12.280,9.410,3.730,3.941
1054,lower leaflet,15.060,9.030,3.060,4.174
1055,lower leaflet,10.490,17.450,2.470,3.878
1056,lower leaflet,14.000,15.370,2.410,4.133
1057,lower leaflet,10.720,12.380,3.260,4.153
1058,lower leaflet,10.850,9.890,3.430,4.253
1059,lower leaflet,14.540,12.670,3.310,3.495
1060,lower leaflet,14.940,9.800,3.200,4.029
1061,lower leaflet,12.240,15.780,2.350,3.909
1062,lower leaflet,8.980,19.090,2.320,3.972
1063,lower leaflet,8.540,15.510,2.590,3.492
1064,lower leaflet,9.200,9.650,3.390,3.824
1066,lower leaflet,11.670,13.710,3.420,4.195
1067,lower leaflet,12.210,13.920,2.800,4.180
1068,lower leaflet,7.150,19.050,2.730,3.824
1069,lower leaflet,10.610,11.630,3.330,4.201
1070,lower leaflet,9.730,17.020,2.450,3.680
1071,lower leaflet,17.100,9.150,3.010,3.989
1072,lower leaflet,10.590,9.110,3.590,3.971
1073,lower leaflet,15.590,13.330,2.730,3.757
1074,lower leaflet,9.950,17.460,2.250,3.835
1075,lower leaflet,14.430,9.120,3.070,4.098
1076,lower leaflet,13.790,13.990,2.680,3.615
1078,lower leaflet,11.510,8.610,3.720,4.120
1079,lower leaflet,15.460,12.500,3.220,3.710
1080,lower leaflet,15.760,9.590,3.120,3.881
1081,lower leaflet,12.300,8.810,3.320,4.050
1082,lower leaflet,8.550,9.050,3.340,3.753
1083,lower leaflet,14.630,7.380,2.790,3.993
1084,lower leaflet,11.710,16.970,2.250,3.985
1085,lower leaflet,9.660,5.890,3.160,3.987
1086,lower leaflet,9.160,10.950,2.850,4.041
1087,lower leaflet,14.260,15.740,2.590,4.136
1088,lower leaflet,7.590,16.000,2.310,3.708
1089,lower leaflet,16.580,11.220,3.310,3.616
1090,lower leaflet,13.920,16.260,2.400,4.030
1091,lower leaflet,13.690,10.640,3.290,4.022
