resid,leaflet,X coords,Y coords,Z coords,Area per lipid
192,lower leaflet,4.640,4.290,3.340,0.334
193,lower leaflet,3.510,4.700,2.710,0.534
194,lower leaflet,5.020,2.730,2.860,0.613
195,lower leaflet,5.040,5.340,3.920,0.315
196,lower leaflet,6.320,4.520,3.240,0.464
197,lower leaflet,4.460,4.820,3.060,0.445
198,lower leaflet,4.380,2.920,2.480,0.678
199,lower leaflet,4.000,3.850,2.580,0.870
200,lower leaflet,4.770,5.960,2.740,0.481
201,lower leaflet,1.660,4.350,2.540,0.546
202,lower leaflet,5.940,3.170,3.570,0.468
203,lower leaflet,4.800,2.220,2.700,0.655
204,lower leaflet,6.550,4.710,3.660,0.298
205,lower leaflet,4.100,5.580,2.530,0.485
206,lower leaflet,2.900,3.310,2.300,0.614
207,lower leaflet,5.160,5.620,3.630,0.325
208,lower leaflet,6.830,4.500,2.750,0.482
209,lower leaflet,4.210,6.100,3.080,0.389
210,lower leaflet,3.180,5.100,2.340,0.714
211,lower leaflet,3.320,2.850,2.800,0.417
212,lower leaflet,0.980,3.710,2.910,0.467
213,lower leaflet,2.820,4.230,2.570,0.580
214,lower leaflet,5.720,2.590,2.840,0.549
215,lower leaflet,5.460,6.080,3.110,0.461
216,lower leaflet,5.130,6.440,3.400,0.371
217,lower leaflet,2.990,4.560,2.960,0.300
218,lower leaflet,5.220,3.660,2.770,0.556
219,lower leaflet,5.860,4.930,3.570,0.292
220,lower leaflet,5.830,2.140,3.480,0.424
221,lower leaflet,3.360,6.420,2.360,0.747
222,lower leaflet,6.670,5.880,3.610,0.285
223,lower leaflet,4.100,5.630,3.290,0.354
224,lower leaflet,3.370,1.910,2.410,0.647
225,lower leaflet,2.290,2.750,2.530,0.608
226,lower leaflet,6.100,3.800,3.040,0.498
227,lower leaflet,5.420,4.740,3.330,0.431
228,lower leaflet,3.320,4.870,3.230,0.309
229,lower leaflet,3.780,7.170,2.620,0.658
230,lower leaflet,3.530,2.860,2.350,0.658
231,lower leaflet,1.150,2.950,2.590,0.584
232,lower leaflet,1.470,4.430,3.370,0.372
233,lower leaflet,7.100,3.220,3.630,0.474
234,lower leaflet,6.090,7.900,3.530,0.474
235,lower leaflet,6.680,2.640,3.600,0.484
236,lower leaflet,1.760,2.120,2.490,0.579
237,lower leaflet,1.670,5.120,2.810,0.563
238,lower leaflet,5.100,6.790,3.060,0.552
239,lower leaflet,4.820,8.140,3.090,0.493
240,lower leaflet,6.950,3.450,3.250,0.538
241,lower leaflet,7.120,5.980,3.540,0.295
242,lower leaflet,2.540,6.720,2.100,0.581
243,lower leaflet,6.730,5.430,3.290,0.446
244,lower leaflet,2.500,5.880,2.400,0.626
245,lower leaflet,3.290,1.050,2.560,0.546
246,lower leaflet,5.900,1.470,2.790,0.503
247,lower leaflet,5.950,5.280,3.170,0.429
248,lower leaflet,2.930,7.260,2.580,0.531
249,lower leaflet,6.110,0.520,3.000,0.477
250,lower leaflet,0.920,5.540,2.750,0.518
251,lower leaflet,2.790,1.500,2.710,0.558
252,lower leaflet,6.980,3.930,3.100,0.569
253,lower leaflet,6.020,6.050,3.270,0.446
254,lower leaflet,4.320,7.390,2.770,0.559
255,lower leaflet,1.680,3.510,2.440,0.606
256,lower leaflet,6.360,0.520,3.480,0.414
257,lower leaflet,2.410,3.370,2.400,0.593
258,lower leaflet,7.410,2.420,2.920,0.488
259,lower leaflet,1.240,2.320,2.580,0.475
260,lower leaflet,6.040,8.120,3.060,0.455
261,lower leaflet,8.570,3.020,3.120,0.424
262,lower leaflet,6.420,8.920,2.980,0.503
263,lower leaflet,6.150,2.330,3.140,0.499
264,lower leaflet,2.490,1.470,3.110,0.414
265,lower leaflet,7.400,5.960,2.580,0.465
266,lower leaflet,0.710,5.090,2.990,0.515
267,lower leaflet,2.300,5.010,2.540,0.590
268,lower leaflet,6.870,8.410,2.910,0.542
269,lower leaflet,8.030,2.770,2.830,0.634
270,lower leaflet,5.200,8.410,2.850,0.498
271,lower leaflet,6.560,6.060,3.160,0.452
272,lower leaflet,2.170,7.620,2.520,0.504
273,lower leaflet,5.010,0.960,2.740,0.519
274,lower leaflet,7.590,5.270,2.750,0.629
275,lower leaflet,0.650,5.940,2.570,0.504
276,lower leaflet,2.290,0.990,2.760,0.501
277,lower leaflet,7.180,6.510,2.680,0.461
278,lower leaflet,6.720,1.270,3.070,0.500
279,lower leaflet,3.910,8.070,2.790,0.498
280,lower leaflet,3.810,1.150,2.680,0.621
281,lower leaflet,0.510,6.780,2.630,0.543
282,lower leaflet,2.830,0.170,2.830,0.441
283,lower leaflet,6.980,5.140,2.780,0.515
284,lower leaflet,6.410,6.960,3.390,0.390
285,lower leaflet,0.850,2.760,2.900,0.475
286,lower leaflet,0.320,3.930,2.510,0.589
287,lower leaflet,5.090,0.060,2.720,0.528
288,lower leaflet,7.630,2.140,3.620,0.482
289,lower leaflet,8.480,1.450,3.350,0.478
290,lower leaflet,5.180,1.310,3.390,0.412
291,lower leaflet,0.950,4.620,2.920,0.517
292,lower leaflet,5.530,1.850,2.780,0.486
293,lower leaflet,1.100,1.520,2.450,0.544
294,lower leaflet,5.800,9.091,3.170,0.467
295,lower leaflet,8.490,3.080,2.530,0.497
296,lower leaflet,5.570,8.670,3.460,0.456
297,lower leaflet,6.960,1.710,2.870,0.511
298,lower leaflet,2.030,7.520,3.040,0.452
299,lower leaflet,1.520,5.940,2.450,0.577
300,lower leaflet,8.120,6.470,2.780,0.599
301,lower leaflet,7.610,7.090,2.980,0.458
302,lower leaflet,9.270,5.900,2.820,0.528
303,lower leaflet,7.420,7.540,2.650,0.471
304,lower leaflet,2.050,6.710,2.210,0.589
305,lower leaflet,3.810,8.690,2.760,0.476
306,lower leaflet,2.360,0.540,3.100,0.403
307,lower leaflet,4.180,0.020,3.110,0.426
308,lower leaflet,0.910,6.860,2.990,0.484
309,lower leaflet,7.380,8.910,2.820,0.551
310,lower leaflet,9.261,4.600,2.860,0.613
311,lower leaflet,9.150,5.460,2.430,0.574
312,lower leaflet,3.180,0.070,3.210,0.404
313,lower leaflet,7.030,0.580,2.830,0.526
314,lower leaflet,3.880,0.320,2.850,0.488
315,lower leaflet,5.910,7.040,3.310,0.534
316,lower leaflet,4.440,8.821,2.510,0.496
317,lower leaflet,4.340,0.530,3.060,0.439
318,lower leaflet,8.900,1.530,2.910,0.487
319,lower leaflet,8.970,4.000,2.720,0.684
320,lower leaflet,8.960,6.360,2.860,0.466
321,lower leaflet,8.290,4.480,2.620,0.780
322,lower leaflet,0.260,2.890,2.480,0.616
323,lower leaflet,0.520,1.420,2.380,0.566
324,lower leaflet,8.220,1.950,3.000,0.602
325,lower leaflet,0.810,5.910,3.090,0.387
326,lower leaflet,3.600,8.340,3.160,0.403
327,lower leaflet,2.530,8.430,3.140,0.389
328,lower leaflet,6.740,7.330,2.970,0.556
329,lower leaflet,5.650,0.440,3.010,0.469
330,lower leaflet,1.820,0.400,3.080,0.400
331,lower leaflet,7.160,8.670,3.230,0.375
332,lower leaflet,8.560,6.600,2.620,0.470
333,lower leaflet,1.310,8.390,2.710,0.563
334,lower leaflet,1.070,7.560,2.710,0.625
335,lower leaflet,7.650,1.090,3.220,0.514
336,lower leaflet,2.110,8.390,2.640,0.464
337,lower leaflet,8.980,7.360,2.420,0.531
338,lower leaflet,3.380,7.880,2.850,0.488
339,lower leaflet,7.640,8.230,2.890,0.596
340,lower leaflet,1.810,1.130,2.550,0.508
341,lower leaflet,7.940,0.190,2.970,0.558
342,lower leaflet,8.280,7.720,2.800,0.644
343,lower leaflet,2.880,8.210,2.830,0.478
344,lower leaflet,8.870,0.940,3.260,0.447
345,lower leaflet,0.860,1.080,3.290,0.412
346,lower leaflet,8.940,3.100,2.700,0.652
347,lower leaflet,1.160,0.910,2.960,0.351
348,lower leaflet,8.510,0.730,2.990,0.540
349,lower leaflet,2.490,9.040,2.300,0.439
350,lower leaflet,8.350,9.070,2.650,0.635
351,lower leaflet,0.170,7.620,2.740,0.573
352,lower leaflet,0.800,8.520,2.690,0.440
353,lower leaflet,0.820,0.080,3.440,0.379
354,lower leaflet,1.190,9.141,3.200,0.391
355,lower leaflet,0.700,9.191,2.960,0.416
356,lower leaflet,1.460,0.500,2.700,0.388
357,lower leaflet,9.220,0.680,2.900,0.507
358,lower leaflet,9.000,8.960,2.780,0.616
359,lower leaflet,8.330,7.080,3.190,0.439
360,lower leaflet,0.220,8.520,2.820,0.609
361,lower leaflet,0.330,0.100,3.350,0.390
22,upper leaflet,4.520,3.810,6.570,0.656
23,upper leaflet,3.980,4.570,6.720,0.562
