resid,leaflet,X coords,Y coords,Z coords,Area per lipid
192,lower leaflet,4.320,4.290,3.490,0.332
193,lower leaflet,3.360,4.430,2.480,0.554
194,lower leaflet,5.210,3.650,2.670,0.502
195,lower leaflet,5.010,5.020,4.480,0.287
196,lower leaflet,5.530,4.320,2.760,0.450
197,lower leaflet,4.130,4.990,2.950,0.376
198,lower leaflet,4.500,2.510,2.680,0.601
199,lower leaflet,3.960,3.720,2.420,0.828
200,lower leaflet,4.930,5.600,2.970,0.387
201,lower leaflet,2.530,5.090,2.650,0.563
202,lower leaflet,5.940,3.170,3.370,0.369
203,lower leaflet,5.030,1.730,2.550,0.565
204,lower leaflet,6.300,4.530,3.160,0.372
205,lower leaflet,4.200,5.520,2.960,0.399
206,lower leaflet,4.040,2.660,2.670,0.652
207,lower leaflet,5.260,5.340,3.670,0.314
208,lower leaflet,6.480,4.150,2.740,0.481
209,lower leaflet,4.080,5.860,3.340,0.269
210,lower leaflet,3.160,5.380,2.570,0.469
211,lower leaflet,3.890,2.160,3.000,0.421
212,lower leaflet,1.760,4.490,2.810,0.493
213,lower leaflet,2.460,3.760,2.660,0.675
214,lower leaflet,5.540,2.530,2.600,0.531
215,lower leaflet,5.540,6.040,3.240,0.439
216,lower leaflet,5.200,6.380,3.290,0.332
217,lower leaflet,2.710,4.310,2.870,0.490
218,lower leaflet,6.160,3.770,2.650,0.522
219,lower leaflet,6.110,4.870,3.350,0.359
220,lower leaflet,5.370,2.300,3.390,0.354
221,lower leaflet,3.590,5.610,2.500,0.477
222,lower leaflet,7.150,5.140,3.350,0.384
223,lower leaflet,4.420,5.530,3.420,0.277
224,lower leaflet,4.010,0.710,2.430,0.516
225,lower leaflet,2.060,2.400,2.400,0.676
226,lower leaflet,5.880,2.940,2.760,0.515
227,lower leaflet,4.900,4.740,3.100,0.384
228,lower leaflet,3.440,5.090,3.040,0.354
229,lower leaflet,4.240,6.120,2.620,0.495
230,lower leaflet,5.310,2.070,2.900,0.533
231,lower leaflet,1.770,3.120,2.300,0.698
232,lower leaflet,0.990,4.200,3.050,0.488
233,lower leaflet,6.980,2.500,2.920,0.422
234,lower leaflet,6.380,7.700,3.310,0.449
235,lower leaflet,6.810,1.690,3.120,0.388
236,lower leaflet,2.750,1.700,2.550,0.567
237,lower leaflet,1.520,4.870,2.430,0.603
238,lower leaflet,5.630,6.570,3.050,0.463
239,lower leaflet,5.040,7.920,3.450,0.368
240,lower leaflet,6.510,2.440,2.520,0.540
241,lower leaflet,7.460,6.000,3.670,0.384
242,lower leaflet,2.490,5.970,2.430,0.624
243,lower leaflet,7.470,4.430,2.540,0.677
244,lower leaflet,2.980,6.230,2.370,0.625
245,lower leaflet,4.030,1.670,2.410,0.572
246,lower leaflet,6.440,1.450,2.690,0.531
247,lower leaflet,6.510,5.180,2.690,0.488
248,lower leaflet,3.670,7.040,2.580,0.608
249,lower leaflet,6.140,0.430,3.170,0.514
250,lower leaflet,0.970,5.450,2.760,0.666
251,lower leaflet,3.260,1.560,2.740,0.548
252,lower leaflet,8.020,3.080,2.720,0.695
253,lower leaflet,6.180,5.340,3.080,0.460
254,lower leaflet,4.640,6.950,2.800,0.516
255,lower leaflet,1.750,3.750,2.330,0.483
256,lower leaflet,6.580,0.550,3.460,0.383
257,lower leaflet,3.040,3.240,2.340,0.777
258,lower leaflet,7.740,2.220,2.580,0.555
259,lower leaflet,1.710,1.660,2.760,0.451
260,lower leaflet,5.010,6.570,2.580,0.459
261,lower leaflet,8.950,2.290,3.010,0.473
262,lower leaflet,5.890,8.310,3.160,0.485
263,lower leaflet,5.800,1.280,2.410,0.544
264,lower leaflet,2.880,1.670,3.060,0.340
265,lower leaflet,7.180,5.570,2.970,0.432
266,lower leaflet,0.810,4.620,2.570,0.657
267,lower leaflet,2.270,5.280,2.280,0.593
268,lower leaflet,7.420,7.880,3.000,0.500
269,lower leaflet,8.450,2.220,2.670,0.584
270,lower leaflet,5.530,7.560,2.930,0.480
271,lower leaflet,6.820,5.860,2.750,0.506
272,lower leaflet,3.040,7.660,2.790,0.582
273,lower leaflet,5.250,8.953,3.120,0.478
274,lower leaflet,7.670,3.750,2.860,0.714
275,lower leaflet,0.870,6.200,2.540,0.516
276,lower leaflet,3.010,0.930,2.830,0.480
277,lower leaflet,7.610,6.210,2.800,0.477
278,lower leaflet,6.960,0.630,3.080,0.528
279,lower leaflet,4.280,7.650,2.880,0.531
280,lower leaflet,4.330,0.370,2.700,0.514
281,lower leaflet,1.020,7.110,2.280,0.616
282,lower leaflet,2.960,0.050,2.560,0.411
283,lower leaflet,6.780,3.180,2.740,0.597
284,lower leaflet,6.120,6.790,3.240,0.427
285,lower leaflet,1.140,2.460,3.200,0.634
286,lower leaflet,8.823,3.220,2.710,0.660
287,lower leaflet,5.290,8.330,3.110,0.353
288,lower leaflet,7.810,1.730,3.160,0.418
289,lower leaflet,9.020,1.260,2.990,0.424
