resid,leaflet,X coords,Y coords,Z coords,Area per lipid
39,lower leaflet,6.013,4.548,3.075,0.433
40,lower leaflet,6.550,5.277,2.692,0.418
41,lower leaflet,3.045,5.367,2.519,0.493
42,lower leaflet,3.183,5.887,2.820,0.465
43,lower leaflet,6.105,3.651,2.774,0.365
44,lower leaflet,2.152,3.481,2.329,0.496
45,lower leaflet,5.013,2.689,2.522,0.421
46,lower leaflet,5.345,7.788,2.695,0.425
47,lower leaflet,2.739,3.186,1.794,0.492
48,lower leaflet,1.086,4.521,2.116,0.445
49,lower leaflet,1.839,6.788,2.770,0.462
50,lower leaflet,6.416,2.617,2.692,0.363
51,lower leaflet,6.677,2.160,2.336,0.400
52,lower leaflet,7.791,6.431,2.522,0.341
53,lower leaflet,1.769,1.639,1.925,0.531
54,lower leaflet,3.933,7.893,2.697,0.484
55,lower leaflet,7.004,7.180,2.949,0.365
56,lower leaflet,3.354,8.623,2.906,0.568
57,lower leaflet,0.234,4.334,2.379,0.399
58,lower leaflet,4.387,0.812,2.980,0.536
59,lower leaflet,3.923,0.777,2.725,0.559
60,lower leaflet,7.143,7.693,2.857,0.412
61,lower leaflet,2.526,8.571,2.720,0.626
62,lower leaflet,9.158,5.812,2.089,0.392
63,lower leaflet,9.522,3.187,2.318,0.447
64,lower leaflet,4.590,0.182,2.829,0.557
65,lower leaflet,3.402,9.388,2.796,0.593
66,lower leaflet,8.141,8.369,2.840,0.513
67,lower leaflet,9.731,6.978,2.200,0.524
68,lower leaflet,7.632,8.032,2.854,0.454
69,lower leaflet,0.610,7.910,2.509,0.536
70,lower leaflet,8.496,2.238,2.397,0.509
71,lower leaflet,9.656,1.168,2.542,0.682
72,lower leaflet,8.864,8.279,2.914,0.548
73,lower leaflet,9.348,7.799,2.596,0.551
74,lower leaflet,8.894,0.677,2.795,0.645
75,lower leaflet,8.644,0.020,2.636,0.633
76,lower leaflet,9.675,0.256,2.804,0.664
147,lower leaflet,4.157,5.090,2.409,0.464
148,lower leaflet,3.788,4.668,2.519,0.466
149,lower leaflet,5.664,5.562,2.886,0.450
150,lower leaflet,3.760,5.507,3.041,0.472
151,lower leaflet,3.213,4.415,2.473,0.474
152,lower leaflet,5.244,4.109,3.046,0.447
153,lower leaflet,4.869,6.051,2.807,0.503
154,lower leaflet,3.873,6.021,2.600,0.502
155,lower leaflet,5.009,3.568,2.700,0.497
156,lower leaflet,4.005,7.066,3.082,0.521
157,lower leaflet,4.610,6.855,2.671,0.514
158,lower leaflet,3.398,6.687,2.871,0.499
159,lower leaflet,6.767,6.681,2.469,0.403
160,lower leaflet,3.018,3.815,2.196,0.535
161,lower leaflet,2.059,4.205,2.606,0.522
162,lower leaflet,4.170,3.142,2.489,0.579
163,lower leaflet,1.716,5.652,2.614,0.484
164,lower leaflet,6.931,5.871,2.521,0.424
165,lower leaflet,6.016,7.477,2.854,0.433
166,lower leaflet,3.358,2.550,2.014,0.634
167,lower leaflet,2.907,7.450,2.821,0.505
168,lower leaflet,1.369,4.815,2.585,0.533
169,lower leaflet,4.573,2.379,2.444,0.591
170,lower leaflet,7.302,6.413,2.299,0.420
171,lower leaflet,1.963,6.205,2.920,0.465
172,lower leaflet,3.589,2.229,2.419,0.622
173,lower leaflet,7.431,3.492,2.417,0.569
174,lower leaflet,6.844,4.400,2.953,0.416
175,lower leaflet,2.600,1.876,2.299,0.607
176,lower leaflet,4.876,7.995,2.917,0.511
177,lower leaflet,5.408,8.530,3.104,0.518
