resid,leaflet,X coords,Y coords,Z coords,Area per lipid
39,lower leaflet,5.985,4.598,2.919,0.414
40,lower leaflet,6.662,5.107,2.582,0.403
41,lower leaflet,2.872,5.316,2.207,0.634
42,lower leaflet,3.039,5.846,2.459,0.600
43,lower leaflet,6.315,3.570,2.786,0.315
44,lower leaflet,2.255,3.443,2.283,0.606
45,lower leaflet,4.932,2.373,2.431,0.472
46,lower leaflet,5.303,7.667,2.685,0.363
47,lower leaflet,2.816,2.566,1.864,0.637
48,lower leaflet,0.639,4.609,1.897,0.488
49,lower leaflet,1.471,6.647,3.014,0.416
50,lower leaflet,6.529,2.576,2.696,0.324
51,lower leaflet,6.838,2.113,2.343,0.335
52,lower leaflet,7.874,6.360,2.563,0.354
53,lower leaflet,1.481,1.658,2.237,0.489
54,lower leaflet,3.926,7.803,2.810,0.437
55,lower leaflet,7.050,7.261,2.915,0.356
56,lower leaflet,2.902,8.561,2.615,0.593
57,lower leaflet,0.011,4.475,2.464,0.416
58,lower leaflet,4.394,0.738,2.894,0.511
59,lower leaflet,3.877,0.664,2.565,0.562
60,lower leaflet,7.192,7.822,2.929,0.391
61,lower leaflet,2.212,8.397,2.666,0.598
62,lower leaflet,9.143,5.916,2.425,0.374
63,lower leaflet,9.623,3.280,2.252,0.466
64,lower leaflet,4.777,0.314,2.650,0.512
65,lower leaflet,3.498,9.301,2.583,0.608
66,lower leaflet,8.172,8.423,2.837,0.470
67,lower leaflet,9.448,7.050,2.505,0.450
68,lower leaflet,7.700,8.008,2.892,0.411
69,lower leaflet,1.009,7.681,2.981,0.499
70,lower leaflet,8.868,2.234,2.467,0.569
71,lower leaflet,0.122,1.205,2.406,0.616
72,lower leaflet,8.875,8.226,2.912,0.483
73,lower leaflet,9.321,7.888,2.656,0.479
74,lower leaflet,8.953,0.861,2.533,0.645
75,lower leaflet,8.638,9.747,2.580,0.656
76,lower leaflet,9.596,0.334,2.871,0.669
147,lower leaflet,4.259,4.681,2.526,0.575
148,lower leaflet,3.422,4.407,2.236,0.571
149,lower leaflet,5.702,5.639,2.788,0.479
150,lower leaflet,3.871,5.521,2.742,0.587
151,lower leaflet,2.909,4.365,2.273,0.558
152,lower leaflet,5.179,4.212,2.887,0.531
153,lower leaflet,4.677,6.024,2.757,0.560
154,lower leaflet,4.053,6.057,2.764,0.575
155,lower leaflet,5.177,3.467,2.661,0.558
156,lower leaflet,3.854,7.225,2.823,0.549
157,lower leaflet,4.753,6.843,2.349,0.556
158,lower leaflet,3.541,6.814,2.814,0.549
159,lower leaflet,6.781,6.759,2.534,0.436
160,lower leaflet,3.386,3.537,2.051,0.559
161,lower leaflet,1.724,3.936,2.351,0.560
162,lower leaflet,4.196,3.229,2.694,0.546
163,lower leaflet,1.737,5.736,2.482,0.509
164,lower leaflet,7.073,5.754,2.504,0.464
165,lower leaflet,5.956,7.505,2.763,0.460
166,lower leaflet,3.806,2.778,2.032,0.554
167,lower leaflet,2.655,7.468,2.971,0.467
168,lower leaflet,1.383,5.007,2.219,0.557
169,lower leaflet,4.597,2.373,2.832,0.513
170,lower leaflet,7.377,6.464,2.464,0.451
171,lower leaflet,1.819,6.284,2.790,0.476
172,lower leaflet,4.045,2.482,2.494,0.537
173,lower leaflet,7.628,3.499,2.469,0.553
174,lower leaflet,6.755,4.343,3.030,0.419
175,lower leaflet,2.574,1.870,2.246,0.628
176,lower leaflet,4.918,8.159,2.815,0.564
177,lower leaflet,5.715,8.372,3.112,0.509
178,lower leaflet,1.416,2.411,2.549,0.588
179,lower leaflet,5.383,1.276,2.625,0.552
180,lower leaflet,3.067,1.123,2.535,0.606
181,lower leaflet,8.189,3.111,2.541,0.554
182,lower leaflet,7.571,2.683,2.285,0.510
183,lower leaflet,9.694,5.891,2.678,0.545
184,lower leaflet,0.150,3.797,2.283,0.647
185,lower leaflet,1.748,8.117,2.838,0.479
186,lower leaflet,4.525,9.474,2.605,0.611
187,lower leaflet,4.250,8.916,2.508,0.636
188,lower leaflet,9.738,5.062,2.552,0.601
189,lower leaflet,4.668,1.188,2.828,0.526
190,lower leaflet,0.747,6.673,2.452,0.470
191,lower leaflet,7.348,1.823,2.701,0.461
192,lower leaflet,5.742,9.138,2.673,0.553
193,lower leaflet,1.800,7.596,2.677,0.439
194,lower leaflet,3.078,0.531,2.855,0.614
195,lower leaflet,0.027,2.069,2.189,0.567
196,lower leaflet,7.875,1.581,2.729,0.465
197,lower leaflet,0.937,2.108,1.989,0.597
198,lower leaflet,8.709,5.244,2.393,0.596
199,lower leaflet,5.327,0.131,2.698,0.580
200,lower leaflet,1.685,0.535,2.300,0.652
201,lower leaflet,3.222,9.792,2.551,0.636
202,lower leaflet,7.299,1.114,2.318,0.482
203,lower leaflet,8.448,1.374,2.534,0.480
204,lower leaflet,6.634,0.566,2.471,0.513
205,lower leaflet,0.698,8.446,3.048,0.456
206,lower leaflet,2.265,9.429,2.960,0.666
207,lower leaflet,7.754,0.754,2.540,0.501
208,lower leaflet,0.800,0.736,2.346,0.601
209,lower leaflet,8.992,7.247,2.944,0.405
210,lower leaflet,1.051,9.290,2.773,0.548
211,lower leaflet,8.682,8.854,2.916,0.451
212,lower leaflet,7.543,9.667,2.453,0.544
213,lower leaflet,0.489,9.103,3.001,0.490
214,lower leaflet,9.414,1.099,2.723,0.506
215,lower leaflet,0.199,9.661,2.633,0.510
216,lower leaflet,0.018,8.944,2.773,0.464
235,lower leaflet,2.055,4.460,2.379,0.539
236,lower leaflet,2.667,6.294,2.455,0.752
237,lower leaflet,2.391,2.887,2.086,0.567
238,lower leaflet,3.120,8.145,2.753,0.622
239,lower leaflet,7.008,4.462,2.359,0.460
240,lower leaflet,0.719,2.857,1.972,0.521
241,lower leaflet,8.267,7.483,2.558,0.556
242,lower leaflet,5.192,8.989,2.703,0.576
243,lower leaflet,8.536,6.615,2.793,0.540
244,lower leaflet,8.247,2.306,2.638,0.422
245,lower leaflet,1.612,1.080,2.114,0.541
246,lower leaflet,8.163,4.701,2.164,0.600
247,lower leaflet,5.754,0.698,2.769,0.565
248,lower leaflet,6.724,9.043,2.369,0.563
249,lower leaflet,0.040,2.800,2.301,0.508
250,lower leaflet,1.318,0.021,2.442,0.595
251,lower leaflet,0.255,8.110,2.928,0.568
252,lower leaflet,8.127,9.301,2.843,0.529
279,lower leaflet,4.709,5.573,2.317,0.400
280,lower leaflet,5.580,4.999,2.708,0.470
281,lower leaflet,4.231,4.008,2.344,0.373
282,lower leaflet,6.076,6.095,2.515,0.600
283,lower leaflet,5.304,7.187,2.443,0.562
284,lower leaflet,2.155,5.001,2.169,0.475
285,lower leaflet,6.286,7.098,2.426,0.572
286,lower leaflet,5.958,3.246,2.468,0.430
287,lower leaflet,7.067,3.776,2.626,0.454
288,lower leaflet,6.714,3.255,2.586,0.441
289,lower leaflet,6.051,2.189,2.455,0.497
290,lower leaflet,0.826,5.371,2.310,0.358
291,lower leaflet,1.219,2.896,2.229,0.299
292,lower leaflet,8.507,5.854,2.451,0.472
293,lower leaflet,8.726,3.758,2.268,0.549
