resid,leaflet,X coords,Y coords,Z coords,Thickness
39,lower leaflet,5.854,4.890,2.736,4.359
40,lower leaflet,6.734,5.391,2.334,4.505
41,lower leaflet,2.743,5.305,2.164,4.623
42,lower leaflet,2.806,5.919,2.327,4.195
43,lower leaflet,6.041,3.649,2.806,4.397
44,lower leaflet,1.962,3.377,2.660,4.482
45,lower leaflet,5.120,2.682,2.700,4.766
46,lower leaflet,5.188,7.712,2.333,4.131
47,lower leaflet,2.642,2.805,1.936,4.107
48,lower leaflet,0.532,4.831,2.083,4.216
49,lower leaflet,1.701,7.007,2.884,4.245
50,lower leaflet,6.358,2.731,2.817,4.612
51,lower leaflet,6.851,2.231,2.618,4.113
52,lower leaflet,7.850,6.410,2.604,4.695
53,lower leaflet,1.695,1.857,2.361,4.256
54,lower leaflet,3.819,8.265,2.703,4.234
55,lower leaflet,7.047,7.319,2.798,4.404
56,lower leaflet,2.883,8.911,2.740,3.995
57,lower leaflet,0.041,4.568,2.388,4.331
58,lower leaflet,4.527,1.072,2.827,4.109
59,lower leaflet,4.049,0.792,2.610,4.358
60,lower leaflet,7.231,7.894,2.804,4.514
61,lower leaflet,2.238,8.892,2.573,4.201
62,lower leaflet,9.196,6.186,2.736,4.381
63,lower leaflet,9.633,3.303,2.346,4.559
64,lower leaflet,4.835,0.474,2.613,4.280
65,lower leaflet,3.682,9.464,2.907,4.172
66,lower leaflet,8.127,8.594,2.802,4.362
67,lower leaflet,9.459,6.962,2.498,4.326
68,lower leaflet,7.706,8.127,2.826,4.515
69,lower leaflet,0.658,7.880,3.044,4.522
70,lower leaflet,8.812,2.462,2.485,4.568
71,lower leaflet,0.324,1.323,2.531,4.325
72,lower leaflet,8.895,8.451,2.805,4.300
73,lower leaflet,9.182,7.787,2.824,4.422
74,lower leaflet,9.073,0.746,2.811,4.211
75,lower leaflet,8.690,0.097,2.674,4.544
76,lower leaflet,9.699,0.343,3.203,4.359
147,lower leaflet,4.323,4.559,2.514,4.458
148,lower leaflet,3.359,4.824,2.461,4.574
149,lower leaflet,5.525,5.694,2.638,4.448
150,lower leaflet,3.733,5.686,2.493,4.578
151,lower leaflet,2.636,4.563,2.099,4.625
152,lower leaflet,5.160,4.047,2.925,4.450
153,lower leaflet,4.733,6.134,2.536,4.583
154,lower leaflet,4.184,6.053,2.293,4.532
155,lower leaflet,5.020,3.426,2.708,4.582
156,lower leaflet,4.085,7.417,2.656,4.147
157,lower leaflet,4.697,6.728,2.185,4.273
158,lower leaflet,3.677,6.970,2.020,4.120
159,lower leaflet,6.677,6.975,2.147,3.955
160,lower leaflet,3.025,3.808,2.303,4.375
161,lower leaflet,1.415,4.114,2.600,4.447
162,lower leaflet,4.051,3.503,2.784,4.441
163,lower leaflet,1.753,5.936,2.480,4.236
164,lower leaflet,7.082,5.897,2.282,4.429
165,lower leaflet,5.779,7.527,2.601,4.108
166,lower leaflet,3.576,2.685,1.963,4.285
167,lower leaflet,2.671,7.734,2.825,4.408
168,lower leaflet,1.194,4.940,2.421,4.425
169,lower leaflet,4.449,2.474,2.611,4.702
170,lower leaflet,7.396,6.507,2.226,4.397
171,lower leaflet,1.751,6.406,2.939,4.219
172,lower leaflet,3.889,2.418,2.367,4.408
173,lower leaflet,7.453,3.612,2.501,4.391
174,lower leaflet,6.747,4.560,2.795,4.399
175,lower leaflet,2.699,1.856,2.192,4.177
176,lower leaflet,4.985,8.230,2.605,4.176
177,lower leaflet,5.561,8.425,2.584,4.172
178,lower leaflet,1.470,2.452,2.419,4.390
179,lower leaflet,5.643,1.534,2.496,4.268
180,lower leaflet,3.193,1.440,2.325,4.434
181,lower leaflet,8.323,3.454,2.726,4.771
182,lower leaflet,7.730,3.224,2.182,4.644
183,lower leaflet,0.147,5.853,2.816,4.491
184,lower leaflet,0.302,3.971,2.438,4.380
185,lower leaflet,1.558,8.168,2.551,4.529
186,lower leaflet,4.460,9.510,2.835,4.093
187,lower leaflet,4.562,8.989,2.705,4.045
188,lower leaflet,9.684,5.049,2.690,4.325
189,lower leaflet,4.963,1.441,2.792,4.338
190,lower leaflet,0.888,6.762,2.690,4.320
191,lower leaflet,7.374,2.095,2.913,4.183
192,lower leaflet,6.097,9.258,2.777,4.447
193,lower leaflet,1.945,7.610,2.844,4.615
