Species,abbrev,lm_id,martini3,concentration
CL 64:3,NA,['NA'],['NA'],0.0
CL 64:4,"CL(1'-[16:1(9Z)/16:1(9Z)],3'-[16:1(9Z)/16:1(9Z)])",['NA'],['NA'],0.0
CL 66:2,CL 66:2,"['LMGP12010010', 'LMGP12010115', 'LMGP12010655', 'LMGP12010025']",['NA'],0.0
CL 66:3,NA,['NA'],['NA'],0.0
CL 66:4,NA,['NA'],['NA'],0.0
CL 66:5,NA,['NA'],['NA'],0.0
CL 68:2,CL 68:2,"['LMGP12010121', 'LMGP12010021', 'LMGP12010441', 'LMGP12010691', 'LMGP12010226', 'LMGP12010451', 'LMGP12010081', 'LMGP12010061', 'LMGP12010091', 'LMGP12010006', 'LMGP12010116', 'LMGP12010331', 'LMGP12010046', 'LMGP12010656', 'LMGP12010661', 'LMGP12010026', 'LMGP12010511', 'LMGP12010016', 'LMGP12010241']",['NA'],0.0
CL 68:3,CL 68:3,"['LMGP12010097', 'LMGP12010022', 'LMGP12010727', 'LMGP12010117', 'LMGP12010442', 'LMGP12010457', 'LMGP12010127', 'LMGP12010027', 'LMGP12010547', 'LMGP12010657', 'LMGP12010667', 'LMGP12010082']",['NA'],0.0
CL 68:4,CL 68:4,"['LMGP12010118', 'LMGP12010673', 'LMGP12011087', 'LMGP12010012', 'LMGP12010028', 'LMGP12010187', 'LMGP12010763', 'LMGP12010133', 'LMGP12010037', 'LMGP12010658']",['NA'],0.0
CL 68:5,NA,['NA'],['NA'],0.0
CL 70:3,CL 70:3,"['LMGP12010058', 'LMGP12010128', 'LMGP12010063', 'LMGP12010298', 'LMGP12010098', 'LMGP12010493', 'LMGP12010478', 'LMGP12010553', 'LMGP12010733', 'LMGP12010093', 'LMGP12010123', 'LMGP12010523', 'LMGP12010668', 'LMGP12010693', 'LMGP12010458', 'LMGP12010343', 'LMGP12010548', 'LMGP12010243', 'LMGP12010448', 'LMGP12010238', 'LMGP12010088', 'LMGP12010663', 'LMGP12010453', 'LMGP12010703', 'LMGP12010313', 'LMGP12010513', 'LMGP12010333', 'LMGP12010728']",['NA'],0.0
CL 70:4,CL 70:4,"['LMGP12010769', 'LMGP12010134', 'LMGP12010228', 'LMGP12010188', 'LMGP12010064', 'LMGP12010073', 'LMGP12010459', 'LMGP12010514', 'LMGP12010709', 'LMGP12010129', 'LMGP12011093', 'LMGP12010048', 'LMGP12010094', 'LMGP12010244', 'LMGP12010529', 'LMGP12010124', 'LMGP12010549', 'LMGP12010694', 'LMGP12010253', 'LMGP12010454', 'LMGP12010334', 'LMGP12010764', 'LMGP12010664', 'LMGP12011123', 'LMGP12010739', 'LMGP12010038', 'LMGP12010403', 'LMGP12010193', 'LMGP12010669', 'LMGP12010729', 'LMGP12011088', 'LMGP12010559', 'LMGP12010674', 'LMGP12010349', 'LMGP12010099', 'LMGP12010018']",['NA'],0.0
