Species,ID,charmm36,concentration
PC 34:1,['LMGP01010005'],['POPC'],14.7970331593335
PC 32:1,['LMGP01010566'],['PYPC'],14.1028740152082
PC 34:2,"['LMGP01010594', 'LMGP01010688', 'LMGP01010589']","['PLPC', 'PILPC', 'YOPC']",12.1784875438214
PC 36:2,"['LMGP01010890', 'LMGP01010768']","['DOPC', 'SLPC']",11.0910994845843
PC 32:2,['LMGP01010684'],['DYPC'],2.81225425196442
PI 34:1,['LMGP06010001'],"['POPI24', 'POPI34', 'POPI2A', 'POPI2D', 'POPI2B', 'POPI33', 'POPI2C', 'POPI15', 'POPI25', 'POPI13', 'POPI14', 'POPI35', 'POPI']",1.2929863492828
PI 36:2,['LMGP06010956'],['SLPI'],1.21406842749102
PC 36:4,['LMGP01010937'],"['DUPC', 'DLiPC']",1.10055965935251
PI 34:2,['LMGP06010959'],"['PLPI2A', 'PLPI', 'PLPI34', 'PLPI24', 'PLPI15', 'PLPI2B', 'PLPI2C', 'PLPI2D', 'PLPI33', 'PLPI35', 'PLPI14', 'PLPI25', 'PLPI13']",0.907471612848904
PC 32:0,['LMGP01010564'],['DPPC'],0.867042705332694
PE 36:2,"['LMGP02010044', 'LMGP02010052']","['DOPE', 'SLPE']",0.630895558254097
PE 34:2,"['LMGP02011198', 'LMGP02010042', 'LMGP02011220']","['OYPE', 'PLPE', 'YOPE']",0.563928917271692
PI 32:1,['LMGP06010881'],['PYPI'],0.500483165284107
PI 38:4,['LMGP06010010'],"['SAPI2D', 'SAPI2C', 'SAPI33', 'SAPI', 'SAPI15', 'SAPI25', 'SAPI35', 'SAPI34', 'SAPI2B', 'SAPI24', 'SAPI2A', 'SAPI14', 'SAPI13']",0.484827718160688
PC 28:0,['LMGP01010477'],['DMPC'],0.484205120724361
PE 34:1,['LMGP02010009'],['POPE'],0.249254281772333
PE 32:1,['LMGP02011228'],['PYPE'],0.14914199591984
PE 32:2,['LMGP02010108'],['DYPE'],0.125490773569468
PI 36:4,['LMGP06010927'],['DLiPI'],0.116165427863284
PS 34:1,['LMGP03010024'],['POPS'],0.0945809262964965
PC 40:2,"['LMGP01011038', 'LMGP01012221']","['DGPC', 'OEPC']",0.089352165767862
PA 34:2,"['LMGP10010903', 'LMGP10010023']","['PLPA', 'YOPA']",0.0884011259235145
PE 36:1,['LMGP02010036'],['SOPE'],0.0829274133969515
PS 36:1,['LMGP03010025'],['SOPS'],0.0682892964119617
PS 36:2,"['LMGP03010031', 'LMGP03010030']","['DOPS', 'SLPS']",0.064357189437947
PG 34:1,"['LMGP04010987', 'LMGP04010962', 'LMGP04010002']","['POPG', 'OPPG']",0.0612083365458563
PI 40:6,['LMGP06010012'],['SDPI'],0.0580807363424902
PA 34:1,['LMGP10010032'],['POPA'],0.0526526227726728
PA 36:2,"['LMGP10010036', 'LMGP10010962']","['DOPA', 'SLPA']",0.0496424140599122
PE 36:4,['LMGP02010111'],['DLiPE'],0.0421722531147211
PC 44:2,['LMGP01011110'],['DEPC'],0.0417328236934376
PS 34:2,"['LMGP03010901', 'LMGP03010976']","['PLPS', 'YOPS']",0.0324096855312979
PA 32:2,['LMGP10010969'],['DYPA'],0.0283727439444567
PG 36:1,['LMGP04010037'],['SOPG'],0.0214449228725646
PG 36:2,['LMGP04010982'],['SLPG'],0.0197024703897801
PI 34:3,['LMGP06010944'],"['PNPI24', 'PNPI2A', 'PNPI35', 'PNPI33', 'PNPI', 'PNPI15', 'PNPI13', 'PNPI34', 'PNPI2C', 'PNPI2D', 'PNPI25', 'PNPI14', 'PNPI2B']",0.0169453204488305
PG 34:0,['LMGP04010907'],['PSPG'],0.0165852846735587
PI 36:5,['LMGP06010320'],['LiNPI'],0.0163037162062552
PS 40:2,['LMGP03010860'],['DGPS'],0.0128942110517497
PG 34:2,"['LMGP04010983', 'LMGP04010881']","['DOPG', 'PLPG']",0.0106301699015981
PG 32:1,['LMGP04010910'],['PYPG'],0.0038935444085785
PE 28:0,['LMGP02010352'],['DMPE'],0.0021046906031893
PE 40:2,['LMGP02011175'],['DGPE'],0.0018965888232791
PG 32:2,['LMGP04010967'],['DYPG'],0.0001611646656808
PS 32:2,['LMGP03010964'],['DYPS'],0.0
PE 32:0,['LMGP02010037'],['DPPE'],0.0
CL 68:2,"['LMGP12010006', 'LMGP12010081']","['POCL2', 'POCL1', 'PVCL2']",0.0
